地区,小区,户型,面积,价格
江岸,安静社区,2室1厅1卫,80,1800
洪山,鸿湖景天,5室1厅4卫,10,660
武昌,文明路,2室1厅1卫,49,900
洪山,桂子花园一期,4室2厅2卫,24,1000
武昌,荣发小区,1室1厅1卫,43,1000
江汉,福星华府,5室2厅3卫,35,1450
沌口开发区,锦绣豪园,3室1厅1卫,278,600
青山,绿地香树花城,3室1厅1卫,116,1400
蔡甸,薛峰社区,1室1厅1卫,58,900
洪山,保利上城,3室2厅1卫,97,1000
黄陂,奥莱汇,2室1厅1卫,54,1188
东西湖,天纵半岛蓝湾,3室1厅2卫,14,1290
东西湖,沿海国际中心,2室2厅1卫,96,1000
汉阳,绿地中央广场,4室1厅2卫,14,790
洪山,杨春湖畔,3室2厅1卫,89,1000
青山,钢花村街119社区,2室1厅1卫,60,1150
黄陂,名流人和天地五期,3室2厅1卫,86,1200
青山,临江港湾,2室1厅1卫,88,1400
汉阳,观澜国际,3室2厅1卫,90,1000
江夏,保利清能西海岸南区,2室1厅1卫,77,1200
黄陂,日月天地,3室2厅2卫,94,900
洪山,逸景苑,4室2厅2卫,10,750
洪山,世茂云锦樱海园,3室2厅1卫,95,1000
沌口开发区,爱佳798,4室1厅2卫,13,680
武昌,铁机宿舍,2室1厅1卫,53,1100
东湖高新,金地格林东郡,4室1厅1卫,8,680
青山,青山绿水花园,2室1厅1卫,75,1300
武昌,珞珈山大厦,5室1厅3卫,10,650
汉阳,铁桥新家园,4室1厅1卫,12,600
汉阳,绿地中央广场,4室1厅1卫,11,580
沌口开发区,东方花园B区,3室2厅1卫,14,650
沌口开发区,观澜御苑,4室1厅2卫,11,550
沌口开发区,观澜御苑,4室1厅2卫,17,580
沌口开发区,阳光丽景,4室1厅2卫,13,620
东湖高新,江南家园,4室1厅2卫,7,1090
洪山,珞珈雅苑,4室1厅3卫,15,700
武昌,绿地国际金融城一期,3室1厅1卫,87,1200
东湖高新,清江山水,4室1厅1卫,14,750
东湖高新,关东康居园,3室2厅1卫,96,700
洪山,福星惠誉东湖城二期,5室1厅2卫,7,830
青山,林湘新苑,2室0厅2卫,65,1250
汉阳,开来都市丰景,4室2厅2卫,15,850
硚口,广电兰亭荣荟,3室2厅1卫,143,700
硚口,华润翡翠城,2室2厅1卫,82,1000
洪山,南湖雅园,1室0厅0卫,134,800
江夏,富丽金澜湾,1室0厅0卫,20,1000
洪山,芷岸龙庭,3室2厅2卫,140,800
汉阳,中国铁建国际城,4室1厅1卫,16,1090
江夏,百步亭江南郡,3室2厅2卫,95,1200
沌口开发区,太子湖畔 · 星苑,5室0厅2卫,14,650
武昌,堤东街,2室1厅1卫,79,1500
武昌,长江船舶设计院,2室1厅1卫,59,1500
汉阳,复地海上海,1室1厅1卫,49,1000
武昌,大东门四村,1室1厅1卫,43,1300
洪山,武汉大学珞桂小区,1室1厅1卫,162,700
武昌,涂家岭社区安景苑,1室1厅1卫,46,1200
武昌,小东门铁路小区,1室1厅1卫,48,1500
沌口开发区,金色港湾二期,4室2厅2卫,14,1100
武昌,东亭,2室1厅1卫,71,1500
沌口开发区,金荷花园,5室1厅2卫,13,640
硚口,汉正小区,2室1厅1卫,57,800
洪山,三鸿领域,5室0厅5卫,10,900
武昌,中山路,1室1厅1卫,36,1200
汉阳,开来都市丰景,4室2厅2卫,15,900
洪山,鸿湖景天,5室1厅4卫,10,660
汉阳,绿地中央广场,4室1厅1卫,13,550
武昌,水陆小区,1室1厅1卫,45,1200
洪山,保利心语九期,4室1厅1卫,9,1060
武昌,安装宿舍,2室1厅1卫,47,1400
武昌,统建锦绣江南,4室1厅2卫,10,1060
汉阳,桃花岛城市花园一期,2室1厅1卫,60,900
洪山,铁机盛世家园,4室1厅2卫,12,750
蔡甸,建新西区长寿里,3室1厅1卫,69,1000
东西湖,卧龙丽景湾三期,2室1厅1卫,86,900
武昌,幸福里社区,2室1厅1卫,54,1300
硚口,玉三小区,2室1厅1卫,78,1000
武昌,水陆小区,1室1厅1卫,56,1300
洪山,福星惠誉东湖城二期,3室1厅1卫,9,960
蔡甸,天元四季花城,2室1厅1卫,102,1200
沌口开发区,香格里居,5室1厅2卫,12,600
汉阳,复地海上海,1室1厅1卫,49,800
洪山,五环社区,1室0厅0卫,138,1000
江汉,江汉人家,2室1厅1卫,83,800
武昌,紫湖村,1室1厅1卫,40,1100
武昌,小东门电子小区,2室1厅1卫,87,1300
汉阳,青石社区,1室1厅1卫,36,800
江汉,统建千禧园,1室1厅1卫,42,1000
洪山,鹏程花园,4室1厅2卫,12,850
汉阳,雅丽花园一期,2室2厅1卫,90,1000
东湖高新,万科嘉园光谷的光,4室1厅2卫,7,890
硚口,营房社区,1室1厅1卫,33,1000
江岸,统建同安家园,4室1厅1卫,16,1130
汉阳,倒口南村,2室1厅1卫,58,1000
沌口开发区,泰合百花公园,5室2厅2卫,14,750
洪山,福星惠誉东湖城二期,5室1厅2卫,8,790
武昌,徐东苑,3室1厅1卫,25,700
江汉,江汉人家,2室1厅1卫,83,800
江岸,福星惠誉红桥城,4室1厅1卫,10,760
武昌,水陆小区,1室1厅1卫,56,1300
武昌,水岸星城,4室1厅2卫,22,950
蔡甸,天元四季花城,2室1厅1卫,102,1200
武昌,绿地国际金融城一期,4室1厅2卫,17,1150
武昌,幸福里社区,2室1厅1卫,54,1300
汉阳,复地海上海,1室1厅1卫,49,1000
武昌,大东门四村,1室1厅1卫,43,1300
洪山,武汉大学珞桂小区,1室1厅1卫,162,700
硚口,荣西社区,2室1厅1卫,81,1000
东湖高新,金地天悦,4室1厅2卫,7,960
东西湖,凯旋名居,2室2厅1卫,88,1000
洪山,福星惠誉东湖城二期,4室1厅2卫,8,890
武昌,荣发小区,2室1厅1卫,60,1300
东湖高新,宇峰家园,3室0厅0卫,82,750
武昌,建设新村,2室1厅1卫,71,1100
武昌,东亭,2室1厅1卫,80,1500
武昌,华师一附中宿舍,2室1厅1卫,51,1500
武昌,付家坡二路8号,2室1厅1卫,35,1000
武昌,大东门公寓,1室0厅1卫,71,1000
东湖高新,万科城花璟苑,3室1厅1卫,10,1590
汉阳,桃花岛城市花园一期,4室1厅2卫,112,900
东湖高新,保利时代南区,4室1厅1卫,7,1060
江岸,永清小路15号,1室1厅1卫,40,1200
东西湖,美联奥林匹克花园四期,4室1厅1卫,11,830
洪山,万科金色城市16地块,1室1厅1卫,40,1200
东湖高新,成园小区,4室1厅4卫,18,1050
江汉,远洋心汉口二期,4室1厅2卫,8,930
东湖高新,桃花源,3室1厅1卫,14,1290
洪山,万科金色城市16地块,1室1厅1卫,40,1200
洪山,福星惠誉东湖城二期,4室1厅2卫,8,990
黄陂,名流人和天地四期,4室2厅2卫,126,600
沌口开发区,金色港湾二期,4室2厅2卫,22,1050
洪山,武泰闸花园小区,2室1厅1卫,88,750
东湖高新,万科魅力之城北区,4室1厅1卫,10,1090
洪山,珞珈雅苑,1室0厅0卫,133,600
汉阳,太子水榭,1室1厅1卫,30,900
江夏,汤逊湖山庄,1室1厅1卫,49,900
东湖高新,宜家龙臣,1室1厅1卫,30,900
黄陂,天纵城,1室1厅1卫,46,1200
汉阳,十里玫瑰,4室1厅2卫,16,800
洪山,福星惠誉东澜岸,1室1厅1卫,80,800
东湖高新,朗诗里程,4室1厅1卫,18,1000
洪山,中建南湖壹号,4室1厅2卫,108,700
江夏,侨亚中华孝庄,1室1厅1卫,39,1100
东西湖,金珠港湾二期,3室2厅3卫,115,1500
东西湖,泰顺和商业中心,2室2厅1卫,76,2200
江夏,东方雨林,2室1厅1卫,83,1200
黄陂,罗纳河谷,3室2厅2卫,148,1200
蔡甸,碧波山庄,1室1厅1卫,54,1150
沌口开发区,绿岛花园,4室1厅1卫,17,880
武昌,中大长江紫都三期,2室2厅1卫,93,1100
江岸,百步亭金桥汇II期,4室1厅1卫,9,860
黄陂,天汇龙城三期,4室1厅1卫,116,800
东湖高新,光谷青年城,1室1厅1卫,45,1800
东西湖,金湖清水湾,2室1厅1卫,79,1000
东湖高新,光谷青年城,1室0厅1卫,35,1000
东湖高新,旭辉御府,4室1厅1卫,11,1260
东湖高新,保利时代,4室1厅1卫,12,1300
江夏,长投绿城蘭园,2室2厅1卫,72,1200
洪山,桂子花园一期,4室2厅2卫,24,1000
武昌,中南宿舍,3室1厅1卫,74,1200
东湖高新,保利时代,5室1厅4卫,26,1250
洪山,恺得南湖国际,1室1厅1卫,57,1200
洪山,福星惠誉东湖城二期,3室1厅1卫,12,1060
黄陂,汉飞向上城,2室2厅1卫,60,1200
武昌,水运宿舍,2室1厅1卫,70,1300
青山,大华滨江天地,1室1厅1卫,147,1200
洪山,泰然南湖玫瑰湾二期,1室0厅1卫,127,1000
黄陂,天汇龙城三期,4室2厅2卫,142,1000
东湖高新,万科城花璟苑,4室1厅2卫,8,1290
东西湖,新城璟汇,3室1厅2卫,110,1000
东湖高新,南益巴黎豪庭,5室1厅2卫,12,1160
蔡甸,龙源映象,2室2厅1卫,85,800
洪山,富强万象新城,2室1厅1卫,90,900
江夏,江夏花园一期,3室2厅1卫,101,1200
蔡甸,齐锦花园东区,2室2厅1卫,90,900
沌口开发区,联投金色港湾,1室1厅1卫,86,800
武昌,付家坡一路1号,2室1厅1卫,51,1500
汉阳,青澳都市尚巢,1室1厅1卫,42,800
东湖高新,万科城花璟苑,4室1厅2卫,8,1290
武昌,大歌笛湖社区,2室1厅1卫,59,1500
洪山,福星惠誉东湖城二期,4室1厅2卫,13,1460
洪山,新长江滨江花园,5室1厅2卫,134,1000
江汉,福星华府,5室2厅3卫,35,1450
武昌,华师一附中宿舍,4室1厅1卫,90,2600
洪山,福星惠誉东湖城二期,5室1厅2卫,13,1460
江汉,世纪江尚,5室1厅3卫,14,2060
东西湖,天纵半岛蓝湾,3室1厅2卫,14,1290
武昌,省国资委小区,2室1厅1卫,70,1500
汉阳,绿地中央广场,4室1厅2卫,14,790
武昌,徐家棚街长轮社区,2室1厅1卫,52,1100
洪山,逸景苑,4室2厅2卫,10,750
东西湖,竹叶海嘉园B区,1室0厅1卫,92,999
东湖高新,国采光立方,5室1厅2卫,8,930
武昌,解放路社区,1室1厅1卫,40,850
汉阳,青澳都市尚巢,1室1厅1卫,42,800
硚口,中民仁寿里,3室2厅1卫,93,1050
东西湖,将军花园,2室1厅1卫,80,1300
新洲,天琴湾,1室1厅1卫,29,700
黄陂,巢上城俊园,3室1厅1卫,12,660
汉阳,华发未来荟,1室1厅1卫,40,1000
汉阳,招商公园1872,4室1厅2卫,7,590
汉阳,太子水榭,1室0厅1卫,131,2300
洪山,文豪苑,1室0厅1卫,218,700
武昌,聚豪华庭,1室0厅1卫,12,850
硚口,友谊社区南区,1室0厅1卫,33,1000
武昌,聚豪华庭,1室0厅1卫,12,1000
洪山,东方莱茵,1室0厅1卫,164,750
武昌,凤凰世纪家园,1室0厅1卫,38,1000
洪山,水域天际,4室1厅1卫,6,960
汉阳,王家湾中央生活区,3室0厅1卫,107,1000
洪山,珞珈雅苑,4室1厅3卫,25,999
洪山,教师小区,1室0厅0卫,15,700
洪山,珞珈雅苑,4室1厅2卫,9,830
江汉,御庭园,1室0厅1卫,17,700
东湖高新,锦绣龙城,3室1厅1卫,13,1090
洪山,板桥新村,5室1厅2卫,7,790
武昌,武铁佳苑东区,4室1厅2卫,22,1050
洪山,教师小区,1室0厅0卫,15,700
汉阳,七里一村,4室1厅1卫,15,750
江汉,御庭园,1室0厅1卫,17,700
汉阳,鲤鱼洲家园,3室1厅1卫,20,750
武昌,中国铁建1818中心,5室0厅2卫,90,4000
洪山,虹顶家园,4室1厅2卫,10,890
武昌,黄鹤楼道,2室1厅1卫,61,1500
洪山,城投瀚城,3室1厅1卫,105,2900
武昌,九龙井小区,1室0厅1卫,8,700
沌口开发区,海天幸福小城,3室2厅2卫,126,800
东西湖,祥生柏景湾学府,2室1厅1卫,76,1000
汉阳,名士华府,4室1厅2卫,11,830
东西湖,美联德玛假日二期阳光里,3室1厅1卫,90,1000
洪山,中建南湖壹号,4室1厅1卫,7,860
洪山,华润紫云府二期,3室1厅1卫,89,1000
江夏,新华联青年城,3室2厅2卫,109,1100
蔡甸,学府丽城,2室1厅1卫,81,1000
武昌,民主一路50号,2室1厅1卫,64,1200
江夏,梅南山居,4室1厅2卫,119,1200
汉阳,玫瑰西苑,2室1厅1卫,88,800
洪山,中建福地星城,1室0厅0卫,106,1000
洪山,金地自在城,4室1厅1卫,7,790
洪山,宝业徐东雅苑,1室0厅0卫,73,1000
东西湖,常青花园四小区,5室1厅2卫,12,860
东湖高新,凤凰新新家园一期,1室0厅1卫,145,950
东西湖,常青花园五小区,3室1厅1卫,10,960
武昌,黄鹤楼道,2室1厅1卫,61,1900
汉阳,金桥港湾花园,4室1厅1卫,6,760
洪山,联发九都国际,5室1厅1卫,8,990
武昌,福星惠誉国际城三期,4室1厅1卫,14,1000
东湖高新,阳光在线二期,1室0厅1卫,70,1400
东西湖,美联奥林匹克花园一期,5室1厅1卫,10,830
洪山,揽胜公园,1室0厅0卫,108,700
洪山,宝安花园,4室1厅1卫,9,830
黄陂,未来海岸,3室2厅2卫,117,1000
洪山,保利心语一期,4室1厅2卫,7,790
黄陂,恒大名都,1室1厅1卫,45,1200
洪山,中建南湖壹号,3室1厅2卫,124,900
黄陂,天纵城,1室1厅1卫,45,1300
黄陂,汉飞向上城,1室1厅1卫,39,1100
东湖高新,锦绣龙城,1室0厅1卫,118,900
洪山,东湖景园B区,5室1厅1卫,8,890
洪山,29街,3室0厅1卫,62,650
东西湖,凯旋名居,4室1厅2卫,10,860
江夏,伊顿阳光,1室1厅1卫,40,1200
洪山,杨春湖畔,4室1厅2卫,109,3000
洪山,狮龙花苑,1室0厅0卫,216,700
